Age of car,Age of Policy Holder,Type of Fuel,Number of Airbags,Is adjustable staring present,Parking Camera present,Type of brakes in the rear,Engine displacement,Transmission type of the car,Number of gears,Type of power steering,Brake assistant present,is Driver seat height adjustable,day & night rearview mirror is present,speed alert system present,Was the file claimed?,Numnber of other cars in the household,Is the holder a home owner
2,56,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,1,Yes
2,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
3,46,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,57,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
2,63,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,4,Yes
2,45,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
3,44,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,No
1,58,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
0,37,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,42,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
4,49,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,Yes
1,35,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,0,Yes
1,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
1,46,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,0,Yes
0,45,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
1,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,49,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
1,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,42,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,No
0,44,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
3,45,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
1,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
3,58,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
1,47,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,51,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,2,Yes
1,35,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
2,41,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
3,49,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,55,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
2,47,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
2,42,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,3,Yes
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
2,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
3,37,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
2,38,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,4,Yes
3,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
3,72,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,62,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,Yes,3,Yes
2,55,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
0,44,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
0,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
4,56,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,3,Yes
0,64,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
5,39,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,4,No
2,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
3,38,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
0,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
1,50,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
4,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
0,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
2,54,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
1,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
2,61,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
2,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
2,40,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,No
0,52,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
3,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
4,52,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
0,35,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,1,No
2,35,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
0,46,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,4,No
0,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
0,41,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
3,47,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
4,45,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
4,39,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,Yes
2,61,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
1,58,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
0,40,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
3,38,Petrol,2,No,Yes,Drum,1199,Manual,6,Power,Yes,Yes,No,No,No,0,Yes
0,45,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,No
2,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
0,54,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
1,54,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
1,38,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
6,61,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,0,No
0,48,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,57,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
1,52,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
2,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
1,50,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
1,61,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
2,56,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,47,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
0,54,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
2,58,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,1,Yes
1,51,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
2,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
1,35,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,0,No
1,38,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
2,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
0,38,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
5,39,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,1,No
0,65,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
0,35,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,1,Yes
3,48,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
0,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,0,No
2,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
1,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,No
3,52,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,0,Yes
0,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
3,35,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
4,48,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,Yes
1,52,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
0,40,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
1,40,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,1,Yes
0,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
3,41,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,Yes
4,44,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,1,Yes
3,44,Petrol,2,No,Yes,Drum,1199,Manual,6,Power,Yes,Yes,No,No,No,1,Yes
1,63,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,Yes
3,55,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
2,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,0,Yes
3,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
4,57,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
0,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
0,37,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,37,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,0,No
0,63,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
3,53,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
0,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
2,45,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
3,53,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
3,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
4,42,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
0,52,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
0,52,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,No
0,50,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
5,47,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
3,38,Petrol,2,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,No
1,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
3,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
4,47,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
0,37,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,No
1,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
3,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,No
3,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,0,No
0,51,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,2,Yes
1,52,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,3,No
0,48,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
2,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
14,46,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
4,40,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
3,35,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
4,41,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
1,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
0,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
5,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
0,55,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
4,38,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
2,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
1,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,No
0,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,3,No
3,40,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
4,61,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
3,43,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,3,Yes
0,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
0,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
3,35,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
3,38,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
3,50,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,4,Yes
2,49,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,0,Yes
1,54,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
3,57,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,0,No
0,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
0,45,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
0,37,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
1,37,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
3,45,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,2,No
1,37,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,48,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
2,35,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
2,59,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
0,50,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
3,36,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,3,No
0,55,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
3,35,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,2,Yes
0,38,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
4,38,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,4,No
1,43,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,1,Yes
4,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,1,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
4,55,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
3,39,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
0,56,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
4,47,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
0,63,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,Yes
0,55,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
1,47,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,4,No
0,39,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,No,0,Yes
2,62,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
0,48,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
1,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,Yes,1,No
0,52,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,1,Yes
3,44,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,3,Yes
3,38,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,0,Yes
1,35,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,0,No
5,48,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
3,53,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,2,Yes
4,63,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
3,42,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,Yes
2,40,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,Yes
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,Yes,2,No
0,43,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,2,Yes
0,39,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,No
3,36,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,No
0,46,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
0,44,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
1,47,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
0,49,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
0,37,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
3,38,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,4,No
4,50,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,4,No
4,42,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,Yes,1,No
1,48,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,2,No
3,35,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,Yes
4,57,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
3,49,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,0,Yes
2,35,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
0,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
1,48,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,0,No
1,43,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,Yes
4,60,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
0,50,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,0,Yes
0,37,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,4,No
0,53,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,0,No
3,43,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
4,59,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,No
4,39,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
0,54,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,2,No
4,44,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,No
1,41,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,No
3,40,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,3,No
0,41,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,1,No
3,37,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,2,Yes
4,58,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,4,Yes
4,63,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,3,No
2,37,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,0,Yes
0,54,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,4,Yes
3,53,Petrol,2,Yes,No,Drum,1197,Manual,5,Electric,Yes,Yes,Yes,Yes,No,3,Yes
0,50,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
0,53,Petrol,2,No,Yes,Drum,999,Automatic,5,Electric,No,No,Yes,Yes,No,1,Yes
0,35,Hybrid,2,No,No,Drum,998,Manual,5,Power,No,No,No,Yes,No,3,No
0,38,Diesel,2,Yes,Yes,Drum,1498,Manual,5,Electric,No,Yes,Yes,Yes,Yes,1,No
0,47,Hybrid,1,No,No,Drum,1196,Manual,5,Manual,No,No,No,Yes,No,0,Yes
2,52,Petrol,6,Yes,Yes,Drum,1197,Automatic,5,Electric,Yes,Yes,Yes,Yes,No,1,Yes
0,47,Diesel,6,Yes,Yes,Disc,1493,Automatic,6,Power,Yes,Yes,No,Yes,No,1,No
2,53,Hybrid,2,No,No,Drum,796,Manual,5,Power,No,No,No,Yes,No,3,Yes
0,64,Diesel,2,Yes,No,Drum,1497,Manual,5,Electric,No,No,No,Yes,No,4,No
